Asset,Optimal_Weight,Benchmark_Weight,Active_Weight
Euro,0.0,0.0,0.0
Gold,0.0,0.0,0.0
WTI Oil,0.0,0.0,0.0
Cooper,0.0,0.0,0.0
JPY,0.0,0.0,0.0
US Treasury 2Y,0.0,0.0,0.0
US Treasury 10Y,0.0,0.0,0.0
US Treasury 5Y,0.0,0.0,0.0
US Treasury 30Y,0.0,0.0,0.0
German Bund 10Y,0.0,0.0,0.0
UK Bond 10Y,0.0,0.0,0.0
US Equity,0.0,0.0,0.0
Europe Stoxx50,0.0,0.0,0.0
Europe Stoxx600,0.0,0.0,0.0
US Tech,5.966670486492997e-05,0.0,5.966670486492997e-05
US Dow,-5.966670486492997e-05,0.0,-5.966670486492997e-05
Japan Equity,0.0,0.0,0.0
US Small,0.0,0.0,0.0
China_Equity,0.0,0.0,0.0
China_Tech,0.0,0.0,0.0
Cash,0.0,0.0,0.0
MSCI_World,0.0,0.0,0.0
